101,136
136,101
19,106
106,19
139,29
29,139
19,55
55,19
6,16
16,6
154,10
10,154
162,129
129,162
60,89
89,60
129,89
129,159
129,45
129,20
129,114
129,60
89,129
89,159
89,45
89,20
89,114
89,60
159,129
159,89
159,45
159,20
159,114
159,60
45,129
45,89
45,159
45,20
45,114
45,60
20,129
20,89
20,159
20,45
20,114
20,60
114,129
114,89
114,159
114,45
114,20
114,60
60,129
60,89
60,159
60,45
60,20
60,114
112,94
94,112
86,97
97,86
108,72
72,108
107,127
127,107
148,124
124,148
114,56
114,163
56,114
56,163
163,114
163,56
60,89
89,60
143,141
141,143
142,165
165,142
62,53
53,62
56,163
163,56
60,153
153,60
116,31
31,116
73,105
105,73
129,60
60,129
124,148
148,124
94,47
47,94
42,6
6,42
105,86
105,97
86,105
86,97
97,105
97,86
34,11
34,97
11,34
11,97
97,34
97,11
42,6
42,16
6,42
6,16
16,42
16,6
34,97
97,34
41,163
41,1
41,114
41,129
163,41
163,1
163,114
163,129
1,41
1,163
1,114
1,129
114,41
114,163
114,1
114,129
129,41
129,163
129,1
129,114
107,47
107,4
107,57
107,127
47,107
47,4
47,57
47,127
4,107
4,47
4,57
4,127
57,107
57,47
57,4
57,127
127,107
127,47
127,4
127,57
77,165
165,77
60,89
60,81
89,60
89,81
81,60
81,89
163,114
114,163
148,97
97,148
116,31
116,11
31,116
31,11
11,116
11,31
148,124
124,148
56,163
163,56
161,162
162,161
87,88
88,87
74,162
162,74
87,50
50,87
89,163
89,159
163,89
163,159
159,89
159,163
117,53
53,117
117,53
53,117
117,53
53,117
34,97
97,34
124,47
47,124
90,12
12,90
98,39
39,98
136,137
137,136
98,148
148,98
95,36
95,1
95,114
95,163
36,95
36,1
36,114
36,163
1,95
1,36
1,114
1,163
114,95
114,36
114,1
114,163
163,95
163,36
163,1
163,114
32,112
112,32
136,152
152,136
158,88
88,158
59,159
159,59
6,16
16,6
47,127
127,47
89,59
89,159
59,89
59,159
159,89
159,59
163,129
129,163
129,163
163,129
129,143
143,129
28,136
136,28
159,117
117,159
1,163
163,1
60,27
27,60
57,47
47,57
1,163
1,114
163,1
163,114
114,1
114,163
41,1
41,163
41,114
1,41
1,163
1,114
163,41
163,1
163,114
114,41
114,1
114,163
4,47
47,4
56,41
56,114
41,56
41,114
114,56
114,41
85,94
94,85
105,73
73,105
127,47
47,127
127,76
76,127
